StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q3_8_TEXT,Q4,Q5_1,Q5_2,Q6,Q6_6_TEXT,Q7,Q7_7_TEXT,Q8,Q8_12_TEXT,Q9_4,Q9_5,Q9_6,Q9_7,Q10#1_1,Q10#1_2,Q10#1_3,Q10#1_4,Q10#1_5,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q12,Q13,Q14,Q15,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9
2018-09-10 08:24:14,2018-09-10 08:51:38,IP Address,129.72.145.154,100,1644,True,2018-09-10 08:51:38,R_3iETTptPoSCAKx5,,,,,41.311401367188,-105.5911026001,anonymous,EN,Yes,Pre-service teachers,,"Yes, I consent to participate in this research.",3,15,Tenured faculty,,Elementary / primary teachers,,Mathematics,,Elementary Education 4409: Mathematics & Science Methods,,,,Some course learning goals,,,,,4,4,4,5 (Highly competent),4,4,4,4,2,2,2,5 (Highly competent),"I utilize technology to differentiate for a student requiring Disability Support Services. 
I utilize technology (e.g. a learning platform) to share notes and posts with students. 
I utilize technology to blend instruction in some graduate courses. ","Likely, being able to access knowledge of experts in an attempt to share it with students has been helpful. ","I do not see a leadership component to using technology, but that is because my job does not demand it. In other areas (e.g., educational leadership), I could see it being of great assistance. ","Facilitating and assessing affective components (e.g., emotional states) of teacher education candidates. ","On my own and through platforms that the university has adopted. Basically, when it's been adopted, I learn how to utilize it.","Honestly, I'm not sure. I suppose the very notion that help is available to become acquainted with the technology is of assistance. ",Major asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Asset I experience / have experienced.,Barrier I experience / have experienced.,Asset I experience / have experienced.,Neutral / neither a barrier nor an asset.,Asset I experience / have experienced.,Asset I experience / have experienced.
2018-09-10 08:56:53,2018-09-10 09:12:09,IP Address,75.27.59.59,100,916,True,2018-09-10 09:12:10,R_1OE6i3ZQ4uIvs09,,,,,41.893707275391,-87.790199279785,anonymous,EN,Yes,"Pre-service teachers,In-service teachers",,"Yes, I consent to participate in this research.",25,22,Tenured faculty,,Other,K-12 special Education teachers,Special Education,,"Low incidence/assistive technology ","Practicum 1- intro to teaching ","Reading methods ","Content reading methods ",All or most course learning goals,Some course learning goals,No course learning goals,Some course learning goals,,5 (Highly competent),4,4,4,4,4,4,3     (Competent),4,5 (Highly competent),5 (Highly competent),5 (Highly competent),"All content is delivered through google classroom. 
All student work is required to be done in google slides. 
Google forms are used for assessment. "," #12 troubleshooting- I model troubleshooting in class when things don’t go as planned so students understand the process they need to approach and to realize that things don’t always go as planed and that’s ok!",I actually had my students rate me on the competencies- the only one I came out low on was the teaching them to teach online and I really don’t know where I could fit that in!,"Assistive technology ",Iste,"What tech is available ",Barrier I experience / have experienced.,Barrier I experience / have experienced.,Barrier I experience / have experienced.,Barrier I experience / have experienced.,Barrier I experience / have experienced.,Barrier I experience / have experienced.,Barrier I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.
2018-09-10 09:48:20,2018-09-10 10:05:53,IP Address,66.62.183.2,100,1053,True,2018-09-10 10:05:54,R_3PMFcnfuU1QKeGz,,,,,45.35530090332,-117.84140014648,anonymous,EN,Yes,"Pre-service teachers,In-service teachers",,"Yes, I consent to participate in this research.",30,30,Other,Consultant,"Elementary / primary teachers,Middle grades / junior high school teachers,Secondary / high school teachers",,"English / Language Arts,Mathematics,Science,History / Social Studies,Physical Education & Health,Music,World Languages,Special Education,Career Technical Education,Technology",,CS335 Introduction to Networks,GSuite Bootcamp,,,All or most course learning goals,All or most course learning goals,,,,5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),"In my CS335 class I have the students design a google sheet to demonstrate their understanding of the concept of IP addressing. The sheet demonstrates to the core concept, but also teaches to the students to use a spreadsheet effectively to promote learning.","Understanding how to use core technology tools such as page layout, word processing, spreadsheets, design tools by developing lessons that enable the students to learn tools through delivery of the assignment.",I believe all the competencies are important.,I believe that we need to balance the focus on tech with real hands on learning with non tech tools.,I am a life long learner and continue to study and add tools to my toolbox on a daily basis.,"As a retired consultant workin individually with teaching staff, I have the time to really develop new skills to enable me to share and teach these skills to my clients.",Major asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Asset I experience / have experienced.,Asset I experience / have experienced.,Barrier I experience / have experienced.,Asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.
2018-09-10 11:21:33,2018-09-10 11:32:39,IP Address,23.112.253.171,100,665,True,2018-09-10 11:32:39,R_1C3y4fUZ20uTvny,,,,,41.739807128906,-87.809501647949,anonymous,EN,Yes,"Pre-service teachers,In-service teachers",,"Yes, I consent to participate in this research.",18,22,Tenured faculty,,"Elementary / primary teachers,Middle grades / junior high school teachers,Other","Special Education ",Special Education,,"Practicum I ",Practicum II,Student Teaching,"Curriculum, Assessment and Technology as well other methods courses.",Some course learning goals,Some course learning goals,Some course learning goals,Some course learning goals,,4,4,5 (Highly competent),5 (Highly competent),4,4,4,4,4,4,4,4,"The assignments that I work with my students on avail my pre-service candidates with technology experiences to prepare and create learning materials that engage students, enhance their learning and extend their learning. ","in my individual work, I would  view my use of on line tools, as extremely important as we constantly use the tools like padlet, websites ( they create) blogs (they create and more. This relates directly to my work as a teacher educator.","They are all important, perhaps #8 gets less attention. I do still view it as important though. ","What matters a lot is how well our institutions provide us with what we need to succeed. We need support, hardware, software and access to many things. ","I am a self taught and self seeking individual. I subscribe to the journals, maintain many memberships, visit the Apple store and am determined to learn and make progress. ","The naysayers are annoying. The world will never again be like the one we grew upon. ",Barrier I experience / have experienced.,Barrier I experience / have experienced.,Barrier I experience / have experienced.,Barrier I experience / have experienced.,Barrier I experience / have experienced.,Barrier I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.
2018-09-10 15:23:42,2018-09-10 15:49:57,IP Address,71.69.70.89,100,1574,True,2018-09-10 15:49:57,R_2AZLgvKx2glc6l8,,,,,37.751007080078,-97.821998596191,anonymous,EN,Yes,"Pre-service teachers,In-service teachers",,"Yes, I consent to participate in this research.",17,15,Tenured faculty,,"Elementary / primary teachers,Middle grades / junior high school teachers,Secondary / high school teachers",,"English / Language Arts,History / Social Studies",,Children Literature,Middle Grades Literacy,Elementary Methods ELA,Elementary Methods SS,Some course learning goals,Some course learning goals,Some course learning goals,Some course learning goals,,3     (Competent),4,4,4,3     (Competent),3     (Competent),4,5 (Highly competent),4,4,3     (Competent),3     (Competent),"Connect globally:
Develop and implement shared curriculum units for K-8 classrooms across nations
Take part in Global Read Aloud with partners in other teacher candidate programs
Utilize social media to maintain cross cultural connections with schools/educators ","Using effective strategies for teaching online
Engaging in ongoing professional development and networking to improve integration","NA . All important, particularly in light of constant changes in technology","It seems the creative element is missing here - tools yes, but also thinking about innovations and adaptations beyond basic pedagogy.  ","Workshops.  Spending time with people who are more tech savvy to update skills and knowledge, particularly in collaborative projects or curriculum development.  Unfortunately this is more often a response to need, rather than feeling as though I'm choosing to stay at the forefront. ","Most of all time, but also opportunity",Neutral / neither a barrier nor an asset.,Major barrier I experience / have experienced.,Barrier I experience / have experienced.,Neutral / neither a barrier nor an asset.,Neutral / neither a barrier nor an asset.,Neutral / neither a barrier nor an asset.,Asset I experience / have experienced.,Asset I experience / have experienced.,Asset I experience / have experienced.
2018-09-10 20:05:28,2018-09-10 20:46:47,IP Address,70.114.166.153,100,2479,True,2018-09-10 20:46:48,R_2qERLlcC56M0h7s,,,,,30.517395019531,-97.630401611328,anonymous,EN,Yes,In-service teachers,,"Yes, I consent to participate in this research.",6,12,Other,Consultant,"Early childhood teachers,Elementary / primary teachers,Middle grades / junior high school teachers,Secondary / high school teachers",,Other,Digital Learning,Google for Collabaration,Artifacts of Learning,Learning in the Digital Age,Feedback for Learning,All or most course learning goals,All or most course learning goals,All or most course learning goals,All or most course learning goals,,5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),4,5 (Highly competent),4,5 (Highly competent),5 (Highly competent),5 (Highly competent),I share some tools during the feedback session to help create feedback loops for educators,"1.1design instruction that utilizes content-specific technologies to enhance teaching and learning.

2.1incorporate pedagogical approaches that prepare teacher candidates to effectively use technology.",7.1 use effective strategies for teaching online and/or blended/hybrid learning environments.,,"PLN, Research, Workshops",My work allows me to explore the integration of technology in all areas of my workflow,Barrier I experience / have experienced.,Major asset I experience / have experienced.,Neutral / neither a barrier nor an asset.,Asset I experience / have experienced.,Neutral / neither a barrier nor an asset.,Barrier I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.
2018-09-11 07:10:44,2018-09-11 07:22:07,IP Address,128.239.145.242,100,682,True,2018-09-11 07:22:07,R_11ZSm1RduPiLIyZ,,,,,37.270706176758,-76.707496643066,anonymous,EN,Yes,"Pre-service teachers,In-service teachers",,"Yes, I consent to participate in this research.",12,5,Administrator,,Secondary / high school teachers,,"History / Social Studies,Technology",,Designs for technology enhanced learning,"web-based pedagogies ",,,Some course learning goals,Some course learning goals,,,,3     (Competent),5 (Highly competent),4,5 (Highly competent),4,4,4,3     (Competent),3     (Competent),5 (Highly competent),5 (Highly competent),4,Teaching and practicing pedagogy-forward modes of lesson planning,"Competencies 2 and 4 are very important as pre-service and in-service teachers need consistent training in teaching and learning theory and instructional stratagies before delving deeply into tech use.  ","Individualized instruction based on ""diverse"" learning needs is a myth and not a practical approach to teacher prep. ","Highly practical training on navigating one's own teaching context and understanding affordances and constraints of particular school systems, schools, and classroom resources ","I try to keep up with professional reading, blogs, articles, and specific use-cases on tech use in my field. ","Everything. I am completely bound by my context and everything I do is filtered through the demands of my work environment and the resources available to me. ",Asset I experience / have experienced.,Barrier I experience / have experienced.,Neutral / neither a barrier nor an asset.,Neutral / neither a barrier nor an asset.,Neutral / neither a barrier nor an asset.,Asset I experience / have experienced.,Asset I experience / have experienced.,Asset I experience / have experienced.,Asset I experience / have experienced.
2018-09-11 07:40:19,2018-09-11 08:02:47,IP Address,144.174.173.150,100,1348,True,2018-09-11 08:02:48,R_3HOAwKHAvRA3oAF,,,,,30.442504882812,-84.298599243164,anonymous,EN,Yes,Pre-service teachers,,"Yes, I consent to participate in this research.",8,3,Graduate student,,"Elementary / primary teachers,Middle grades / junior high school teachers,Secondary / high school teachers",,Technology,,Introduction to Educational Technology,,,,All or most course learning goals,,,,,4,4,4,5 (Highly competent),4,4,3     (Competent),3     (Competent),5 (Highly competent),5 (Highly competent),4,5 (Highly competent),"#4 (Use online tools to enhance teaching and learning): I use a variety of appropriate multimedia during instruction.
#9 (Address legal, ethical, and socially-responsible use of technology in education): I spend approximately 2-3 weeks covering topics like copyright, fair use, evaluating websites, privacy, etc.
#10 (Engage in ongoing PD and networking): I am very active in my PLN and other PD/networking opportunities. 
","#2 (Incorporating pedagogical approaches): Pedagogy ties all of the elements of teaching together.  Effective pedagogy is crucial in the classroom.  ","#7 (Teaching online/hybrid courses):  I don't currently teach an online or hybrid course (I teach face-to-face), so it does not really apply to me.  ","Teacher attitude toward technology, content, etc. ","Practice, professional development, feedback","I have a lot of freedom with course development, so I get to try new things with my students to develop my own technology competencies.  ",Major asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Asset I experience / have experienced.,Asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.
2018-09-11 08:26:02,2018-09-11 08:41:11,IP Address,130.88.240.115,100,908,True,2018-09-11 08:41:11,R_417ssunAuDRaBBT,,,,,53.466293334961,-2.1342010498047,anonymous,EN,Yes,"Pre-service teachers,In-service teachers,Other",Staff that teach PSTs,"Yes, I consent to participate in this research.",10,20,Other,Head of Technology Enhanced Learning,"Early childhood teachers,Elementary / primary teachers,Other","Further Education (post high school) but not University/College ",Technology,,Bachelor of Education Creative Technologies,Bachelor of Science in Education - Creative Technologies -more for Trainer in industry type of careers,Further Ed teachers - communication technologies for online learning,Masters in Education - Instructional Design,Some course learning goals,Some course learning goals,Some course learning goals,All or most course learning goals,,5 (Highly competent),5 (Highly competent),4,5 (Highly competent),3     (Competent),3     (Competent),5 (Highly competent),4,3     (Competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),"I engage in advocacy for using tech every day in my role by introduction of new tech to staff who teach PSTs; I also engage in ongoing CPD by attending and colloborating with colleagues either online, or F2F at events/conferences.  I use tech to connect globally through delivery of online courses to Africa, Australia and other continents not in our time zone.  I'm the 'tech' behind delivery of courses online for the entire institution so am using TEL everyday. ","Ability to help academics deliver TEL no matter their course content.
Other competencies include the ability to multitask and learn new tech quickly, and then create user-friendly 'just in time' videos to staff to provide asynchronous training to staff when they need it, rather than when I have time to deliver it!","Legal, ethical and social responsibilities - while I'm mindful of copyright, intellectual property and the EU GDPR directive, they are not to the forefront of my everyday delivery to TEL to PSTS and PST educators.  But, I am asked about them all the time.","Human skills of being able to communicate effectively with 'content' providers to utilise appropriate tools, rather than just 'technology for technology's sake'.","Twitter - following interesting innovative people
YouTube videos - how to guides by others that demonstrate ideas 
Try to keep ahead of what tech is coming - the Hype cycle Gartner reports are always useful.
Also EU documents and national strategy (Ireland) that is mindful of international strategies on TEL.","It reduces my ability to think outside the box, and PST educators are quite 'traditional' in their delivery methodologies.  My PhD was on this - if the 'sage on the stage' worked for me, I'll keep doing what I know, and why would I model 'other' practice to students, if I'm not able to do it myself.  So, TETCs are key for the competencies of the pre-service teacher educators and what they are modelling, are often more important.  ",Barrier I experience / have experienced.,Major barrier I experience / have experienced.,Neutral / neither a barrier nor an asset.,Barrier I experience / have experienced.,Barrier I experience / have experienced.,Neutral / neither a barrier nor an asset.,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.
2018-09-11 08:29:06,2018-09-11 08:42:24,IP Address,80.44.140.107,100,798,True,2018-09-11 08:42:25,R_1oi0DBKeY9g9tI7,,,,,51.350006103516,-0.033294677734375,anonymous,EN,Yes,In-service teachers,,"Yes, I consent to participate in this research.",,32,Non-tenure track faculty,,"Elementary / primary teachers,Middle grades / junior high school teachers,Secondary / high school teachers",,Technology,,Practice based research modules,,,,No course learning goals,,,,,1 (Not competent),3     (Competent),3     (Competent),4,1 (Not competent),3     (Competent),4,5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),4,"Our teachers research different products in their classroom and decide how best to use them...I do not do product training but encourage them to reflect on the impact on learning, relevance to parents and all kinds of other affordances depending on what the product is: In the research that teachers have recorded in  this programme they have made discoveries that have resulted in ownership of change: examples include the value of video enhanced professional development; the relative merits of virtual reality and immersive reality in learning; the ways in which homework programmes and school news feeds can engage parents in their children’s progress how e-books can encourage reluctant readers: the success of digital resources like games, simulations, videos and quizzes in stimulating independent learning: and effective methods of deploying mobile devices. These small scale school based research projects provides teachers and their leaders with in classroom opportunities to reflect, often with the involvement of pupils and parents as well. https://mirandanet.ac.uk/icatalyst/professional-development-approach/ 
 https://mirandanet.ac.uk/about-associates/associates-research/",Able to mentor in online environment: understanding how to help teachers reflect on their practice,Depends entirely on what we have chosen to look at....I expect teachers to master the basics as they go along. Owning their own computer or laptop is a must. Having an insight into what pupils are doing is also important.,I'm English. I do not understand the term TECTs,Sharing with others in our community of practice- MirandaNet,Not sure what this means,Major asset I experience / have experienced.,Neutral / neither a barrier nor an asset.,Major barrier I experience / have experienced.,Neutral / neither a barrier nor an asset.,Asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.
2018-09-11 08:24:24,2018-09-11 08:44:53,IP Address,64.83.245.125,100,1228,True,2018-09-11 08:44:53,R_32WI83lJa82Yjxo,,,,,37.444396972656,-89.170501708984,anonymous,EN,Yes,In-service teachers,,"Yes, I consent to participate in this research.",7,4,Administrator,,"Early childhood teachers,Elementary / primary teachers,Middle grades / junior high school teachers,Secondary / high school teachers",,"Career Technical Education,Technology",,Computer Concepts,G-Suite for Beginners,Intermediate G-Suite,Advanced G-Suite,All or most course learning goals,All or most course learning goals,All or most course learning goals,All or most course learning goals,,4,4,4,4,4,4,3     (Competent),3     (Competent),4,4,4,5 (Highly competent),"I engage in leadership and advocacy for using technology as a member of the governing board of my regional ICE (Illinois Computing Educators) chapter.  As such, I help bring technology to the classroom in other districts; help train educators in these new technologies; advocate for more educational technology tools and training.  ","I believe the most important aspect is to constantly engage in professional development and networking with other teachers and administrators who use educational technology.  Technology changes rapidly, so we must be committed to a lifetime of learning.","I do not believe that any of the competencies are of low or no importance.  Even having the ability to perform basic troubleshooting is important.  If I am to instruct others in the use of technology, I should have at least a basic ability to troubleshoot.","I believe the ability to grow, learn, and keep up with emerging technologies should be given more significance.","I develop my competencies by actively seeking learning opportunities through workshops or networking events.  I also spend time researching emerging tech trends.  I practice what I learn in my own work, as well as by training others.",I am not in the classroom as much now since I am the Technology Director.  I spend the majority of my time developing programs for training other teachers to use the latest educational technology tools.  This affords me the time and ability to really dig in and research new ideas.,Asset I experience / have experienced.,Asset I experience / have experienced.,Asset I experience / have experienced.,Asset I experience / have experienced.,Major asset I experience / have experienced.,Asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Asset I experience / have experienced.
2018-09-11 13:31:14,2018-09-11 13:42:09,IP Address,192.249.3.141,100,654,True,2018-09-11 13:42:09,R_ywMsBzfQQfb9hzr,,,,,35.953704833984,-83.933502197266,anonymous,EN,Yes,"Pre-service teachers,In-service teachers",,"Yes, I consent to participate in this research.",4,5,Graduate student,,"Elementary / primary teachers,Middle grades / junior high school teachers,Secondary / high school teachers",,Mathematics,,Secondary Mathematics Methods,Elementary Mathematics Methods,,,Some course learning goals,Some course learning goals,,,,4,4,4,3     (Competent),3     (Competent),3     (Competent),2,4,1 (Not competent),4,1 (Not competent),4,"#3--I use websites like NCTM to promote teachers use of technology resources to support instruction.  I use the Library of Virtual Manipulatives, Desmos Online Calculator, and Geogebra to support positive attitudes towards practical technology use.  I have students explain their views of technology to support instructional goals as a prompt on their final exam.",The most important to my work with teachers is using content-specific tools to enhance teaching and learning (#1).,"Troubleshoot (#12) and Leadership (#11) competencies.  ","Unsure.  Initial thoughts are is the technology going to be available to students when they enter the field, thus many of my technologies used and highlighted in methods classes are web-based.","Keep up to date by participating in webinars and conferences.  Keep learning myself and trying new things. Teaching students that errors are okay, and it's important to learn from mistakes when using technology. ","Being a graduate student, time is an issue.  I'm developing a lot, and technology competency is not a priority at the moment, but I do notice it being visual in other areas I'm developing (teaching, research, etc.).",Barrier I experience / have experienced.,Barrier I experience / have experienced.,Neutral / neither a barrier nor an asset.,Barrier I experience / have experienced.,Barrier I experience / have experienced.,Asset I experience / have experienced.,Asset I experience / have experienced.,Asset I experience / have experienced.,Asset I experience / have experienced.
2018-09-11 17:36:41,2018-09-11 17:49:30,IP Address,50.37.109.191,100,769,True,2018-09-11 17:49:31,R_2CBQRVb0Er3Aaw2,,,,,46.717193603516,-116.91790008545,anonymous,EN,Yes,"Pre-service teachers,In-service teachers",,"Yes, I consent to participate in this research.",0,3,Tenure track (probationary) faculty,,"Elementary / primary teachers,Middle grades / junior high school teachers,Secondary / high school teachers",,"English / Language Arts,Mathematics,Science,History / Social Studies,Physical Education & Health,Music,World Languages,Special Education",,Classroom assessment,,,,No course learning goals,,,,,2,2,2,3     (Competent),2,3     (Competent),1 (Not competent),3     (Competent),3     (Competent),2,1 (Not competent),4,I have used Google Drive and Poll Everywhere as a way to allow students collaborate and share their voices from either a single site or multiple sites in a course.,Web browsing and PowerPoint. You can do a ton with just those.,Most anything that has a wow factor but no widespread evidence of actually improving learning.,,"Mostly learning on my own ","Certain structures in courses (e.g., two campuses in the same class) or classrooms (e.g., audio/video projection setups) force me to adapt.",Asset I experience / have experienced.,Asset I experience / have experienced.,Neutral / neither a barrier nor an asset.,Neutral / neither a barrier nor an asset.,Neutral / neither a barrier nor an asset.,Neutral / neither a barrier nor an asset.,Barrier I experience / have experienced.,Major asset I experience / have experienced.,Barrier I experience / have experienced.
2018-09-11 19:08:01,2018-09-11 19:46:44,IP Address,66.196.26.241,100,2323,True,2018-09-11 19:46:45,R_2aXh9s4LT72WWV2,,,,,31.044998168945,-97.508697509766,anonymous,EN,Yes,"Pre-service teachers,In-service teachers",,"Yes, I consent to participate in this research.",20,8,Other,Adjunct Instructor and Instructional Technology Specialist,"Early childhood teachers,Elementary / primary teachers,Middle grades / junior high school teachers,Secondary / high school teachers",,Technology,,"EDTE 5349 Media and Technology, Graduate level for teachers",EDUC 4340 Tech Application and Integration for Teachers,,,All or most course learning goals,All or most course learning goals,,,,3     (Competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),"# 10 I have pursued Google certification through Educator Level 1 and 2, Trainer, and Innovator. Much of this was at my own cost and international travel expense because I value the knowledge, relationships, and content found through these experiences.
#4 Through my coursework, I introduce my students to many different online learning and face-to-face techniques such as EdPuzzle, Flipgrid, Playposit, Socrative, Padlet, Google Forms, and Plickers. Drawing programs and sketchnoting are other forms of  online learning tools that may be appropriate in each teacher's classroom.
#2 I support Backwards Design, Flipped Learning, Blended Learning, and Constructivist pedagogic methods when I teach technology integration. Most of all, I encourage teachers to exercise their agency, to begin to make professional decisions through their knowledge and experience.","
Technology competency #8 : share and ask questions.
Technology competency #2: don't get in a rut, evaluate and change or fix what needs fixing, then get back into it - don't be afraid to make mistakes.","#1 I don't get tied to one or two content-specific technology, because technologies change - often very quickly. I prefer to choose more general multi-use tools that can apply to many different content areas.","I would like to see some mention of failure-recovery. Many times, students get bogged down, embarrassed, and helpless when they make a mistake or can not figure something out. This is a soft skill, I know, but it is very important to recover, regroup, and get back on track. I consider this a large part of technology integration.","I study widely, read often, and make lots of mistakes.","I have a very supportive environment, a culture of learning and excitement that nourishes the desire to learn and share learning.",Major asset I experience / have experienced.,Major asset I experience / have experienced.,Asset I experience / have experienced.,Asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.
2018-09-11 17:00:39,2018-09-11 21:35:16,IP Address,76.178.190.108,100,16477,True,2018-09-11 21:35:17,R_1OTZw1EN2V31q7B,,,,,46.717193603516,-116.91790008545,anonymous,EN,Yes,"Pre-service teachers,In-service teachers",,"Yes, I consent to participate in this research.",4,8,Tenure track (probationary) faculty,,"Early childhood teachers,Elementary / primary teachers,Middle grades / junior high school teachers,Secondary / high school teachers",,Special Education,,Educating for Exceptionalities,Special Education curriculum,Collaboration,,Some course learning goals,Some course learning goals,Some course learning goals,,,4,4,4,4,4,4,4,4,4,4,4,4,"1. Require student to submit assignments using a variety of instructional tech tools- e.g. create a website, a narrated Prezi, a Storify, etc
2. Provide students with tech support when they struggle with new tools
3. Provide information in a variety of modalities for different learner preferences",To me the most important is to prepare future educators to utilize technology to differentiate instruction and align their teaching with UDL principles,"I really can't decide.. they are all important! ",You covered it all,"Involvement in national organizations, attending conferences, professional networking, PD",The existence of the DOCEO center definitely enhances my access to tech and PD  related to tech,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Asset I experience / have experienced.,Asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.
2018-09-11 21:33:36,2018-09-11 21:51:00,IP Address,174.218.8.242,100,1043,True,2018-09-11 21:51:00,R_1f3Zejm2xHRWSen,,,,,33.748992919922,-84.388000488281,anonymous,EN,Yes,In-service teachers,,"Yes, I consent to participate in this research.",,10,Tenured faculty,,"Early childhood teachers,Elementary / primary teachers,Middle grades / junior high school teachers,Secondary / high school teachers",,,,Technology leadership,,,,All or most course learning goals,,,,,5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),"Strive for accessible courses, thus modeling ethical and legal practice; direct students to pay attention to my design choices as a way to make them consider  good uses of technology; bring ideas back from conferences or research to my classes and discuss how i still learn. ",4 & 7,"Differentiation, global connections ","Computational Thinking, digital literacy, Insee the TETCs as unnecessary, just go with ISTE standards. ","Doctoral level preparation in Ed tech, research, collaboration with k12 teachers",I live in a rural area and work in rural schools,Major asset I experience / have experienced.,Barrier I experience / have experienced.,Major asset I experience / have experienced.,Neutral / neither a barrier nor an asset.,Neutral / neither a barrier nor an asset.,Neutral / neither a barrier nor an asset.,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.
2018-09-11 23:26:01,2018-09-11 23:41:34,IP Address,202.65.158.108,100,933,True,2018-09-11 23:41:34,R_s6X3YVekNcpoZMZ,,,,,17.433395385742,78.411102294922,anonymous,EN,Yes,In-service teachers,,"Yes, I consent to participate in this research.",20,10,Other,"Trainer for exams board, IT trainer","Elementary / primary teachers,Middle grades / junior high school teachers,Secondary / high school teachers",,Technology,,IGCSE ICT Cambridge Assessment,A Level ICT Cambridge Assessment,"Office 365 ",Apple for primary schools,All or most course learning goals,All or most course learning goals,All or most course learning goals,All or most course learning goals,,4,5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),5 (Highly competent),3     (Competent),4,5 (Highly competent),3     (Competent),5 (Highly competent),"As I train in IT, all my work is based on teaching how to use technology in a variety of situations. ","Teachers keeping up with their own technological skills. To develop their confidence in using them and troubleshooting simple issues. This is fundamental, as teachers are put off from using it as they are scared if it goes wrong.
After that you can build on other skills.

","They are all important. One of the best things about technology is how easy it is to share ideas. So perhaps the first point about developing their own instruction, whereas it should be I modify their people’s instructions n to best sit the needs of my class.","Possibly the power of good searching techniques to find out what is out there and explore the pot I made previously. 
Also the personal development of their technological skills, so that they can fully appreciate how to make use of the tools and methods out there","By learning, reading online articles, training. Delivering training makes me a better user of technology, not being scared to experiment when something new comes out or a new OS is released. An enquiringly mind, willing to take risks and not worry if it goes wrong.","I work for training companies in IT, so naturally I develop this through my work.",Major asset I experience / have experienced.,Major asset I experience / have experienced.,Asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.,Major asset I experience / have experienced.
